ID,Customer ID,Professional ID,Date of Request,Date of Completion,Status,Rating,Remarks
1,1,1,2025-03-21,2025-03-22 00:00:00,Closed,2,ok
2,1,1,2025-03-21,2025-03-22 12:52:23.714819,Closed,5,nice
3,1,1,2025-03-22,,Accepted,,
4,1,5,2025-03-22,,Requested,,
5,1,3,2025-03-22,2025-03-22 11:09:54.991867,Closed,5,ok
6,1,4,2025-03-22,,Accepted,,
7,1,5,2025-03-22,,Requested,,
8,1,1,2025-03-22,,Requested,,
9,1,1,2025-03-22,,Requested,,
10,2,5,2025-03-26,,Requested,,
11,2,4,2025-03-26,,Accepted,,
12,1,5,2025-03-26,,Requested,,
13,1,1,2025-03-26,,Requested,,
14,1,3,2025-03-26,2025-03-27 13:16:24.001841,Closed,5,0
15,1,5,2025-03-27,,Requested,,
16,1,4,2025-03-27,,Accepted,,
17,1,1,2025-03-27,,Requested,,
18,1,3,2025-03-27,,Accepted,,
19,1,1,2025-03-27,,Requested,,
20,1,3,2025-03-27,,Accepted,,
21,1,4,2025-03-27,,Accepted,,
22,1,5,2025-03-27,,Requested,,
